hospital_type,hospital_id,patient_id_compliance,med_rec_compliance,hand_hygiene_rate,timeout_compliance,suicide_screening_rate,falls_injury_rate,restraint_hours,readiness_score,accreditation_risk
Critical Access,1,90.8,78.5,76.6,87,66.6,2.9,10.8,68.7,1
Psychiatric,2,93.3,86,84.7,98.5,92.1,3.2,8.3,80.37,1
Critical Access,3,98.1,87.6,90.5,93.4,65.5,3.7,14.3,72.47,1
Psychiatric,4,98.5,97.5,85.3,97.5,90.6,3.4,7.6,83.28,1
Psychiatric,5,96.9,90.6,85.8,89.4,70.4,1.9,9.8,77.92,1
Critical Access,6,95.4,96.2,93.2,96.8,76,4.4,5.7,79.87,0
Teaching,7,96,87.3,88.5,94.2,80,3.5,5.3,79.55,1
Psychiatric,8,93.1,94.3,84.5,94.1,67.8,2.7,7.4,77.66,1
Psychiatric,9,92.3,95.4,84.9,95.8,70.1,1.6,9,80,0
Critical Access,10,90.3,98.4,101.7,95.6,79.1,2.1,5.2,86.22,0
Community,11,94,96.4,90,97.7,75.2,2.1,10.9,81.01,1
Critical Access,12,86.3,92.4,89.8,87.1,81.2,3.7,8.9,75.51,1
Psychiatric,13,101.3,78.2,87.8,89.7,93.8,3,8.4,79.96,0
Critical Access,14,94.4,88.2,77.9,93.4,78.5,4.3,9.6,73.08,1
Critical Access,15,96.5,77.7,82,103.6,75.4,3.5,7.9,76.09,0
Teaching,16,100.4,88.9,87.9,98.3,78.5,1.9,6.3,83.85,0
Psychiatric,17,95.9,96.1,80.7,91.4,84.5,4.4,7.8,77.02,0
Teaching,18,93.3,88.6,88.7,90.8,84,3,6.8,79.68,1
Critical Access,19,90.3,75.2,87.4,98.9,65.9,2.3,6.8,75.54,1
Psychiatric,20,96.2,74.8,88,90.7,82.8,3.1,6.7,76.95,1
Teaching,21,97.3,98.7,81.1,103.1,85.3,2.1,9.5,84.15,1
Teaching,22,104.3,89.4,83.7,96.7,83.8,2.4,9.2,82.18,1
Community,23,99.2,95.6,89.5,88.6,93.6,3.5,5.6,83.5,1
Community,24,102.9,88.4,74.5,96.3,82.5,2.2,9.4,79.82,1
Psychiatric,25,94.5,97.8,78.5,97.6,64.3,2,8.2,78.44,1
Teaching,26,94.9,86.3,95.3,96.1,94.5,3,4.4,85.22,0
Psychiatric,27,94.1,91.2,85.3,87.2,85,4.3,12.9,73.51,1
Community,28,98.1,94,80.2,99.4,94.5,4.2,6.6,81.54,1
Psychiatric,29,102.6,82.9,78.2,94.5,76.7,3,9.5,76.23,1
